scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
STICSA_Total,pre_at_midT,exploratory,290,0.15491579526938914,-0.021252223896008365,0.054399635577205355,0.6963331259938947,0.2507742577993057,2.4857231178661757e-05,-0.4088460296180891,1.9243848286809398e-11,False
STICSA_Total,pre_at_midT,confirmatory,279,0.2425872021642136,0.07097511016867578,0.052685252718141555,0.1790398704203431,0.27977399476408044,1.945337968007445e-06,-0.5189206136464287,9.264163151024676e-18,False
STICSA_Total,pre_at_highT,exploratory,290,0.18180886962607612,-0.042676965298215845,0.0535270589561424,0.42593996305256276,0.326062928592732,3.6011177956394904e-08,-0.4166212306010034,4.148948685918216e-12,False
STICSA_Total,pre_at_highT,confirmatory,279,0.2489112689605738,0.04909685247628328,0.0524648422203358,0.3501947257418474,0.3183796833216224,6.462216280921608e-08,-0.5172412978112043,8.704663221565257e-18,False
STICSA_Total,pre_slope_T,exploratory,290,0.05544810712293313,-0.0655902832784174,0.057512058117556324,0.2550482465365616,0.21322642408831285,0.0006513169923846494,0.02497370126986706,0.6865568923411738,False
STICSA_Total,pre_slope_T,confirmatory,279,0.0415767611430109,-0.10011044866185168,0.05926542673333651,0.09231680987230975,0.18813382998396452,0.003943796915217664,-0.03752422097118413,0.5547245572420417,False
STICSA_Total,abs_peak_strike,exploratory,290,0.21405041165337746,0.045382132881736176,0.05246181885519859,0.38773596757078854,0.12946257411852988,0.022483664283134825,-0.49150957431721515,2.394948131430394e-16,False
STICSA_Total,abs_peak_strike,confirmatory,279,0.28166963890019525,0.062055726229883666,0.05130797323132741,0.22751902878552463,0.2218848864734459,9.531957990000798e-05,-0.5697409129227484,1.723395028252307e-21,False
STICSA_Total,peak_post,exploratory,290,0.5927218341004526,0.005997353983905805,0.03794372392695107,0.8745220952755368,0.26836112814568125,3.2518744061646495e-10,-0.37534637595084475,1.531299343006872e-17,True
STICSA_Total,accel_post,exploratory,290,0.04610955622289081,0.08377872918494468,0.05779566260538872,0.14827473692175963,0.18086828002523267,0.0039006955101261185,-0.1730410926720759,0.005707455026280518,False
AMI_Total,pre_at_lowT,exploratory,290,0.28905331275387924,0.3161192372321113,0.050110378962488586,1.0682400045292632e-09,0.2289511370047719,2.9039494338395245e-05,-0.4363765891680121,1.4148970996484797e-14,False
AMI_Total,pre_at_lowT,confirmatory,279,0.316931071714075,0.2841752116038564,0.05054068051239368,4.6154650472503333e-08,0.22810574155998153,4.618105984552604e-05,-0.5263159428829141,8.149946095379159e-20,False
AMI_Total,pre_at_midT,exploratory,290,0.2510526238191103,0.312358499037238,0.05143216683266915,3.98280779665802e-09,0.21960826948992576,9.053626748088626e-05,-0.3868183648085225,1.6990415622959928e-11,False
AMI_Total,pre_at_midT,confirmatory,279,0.30801090605969494,0.2691099586976203,0.05086961432155961,2.4974596625225446e-07,0.23518774468552767,3.0401182499875535e-05,-0.5237002308680028,1.858635141105728e-19,False
AMI_Total,pre_at_highT,exploratory,290,0.2567409380029563,0.27844099222523105,0.05123647888347784,1.1779659540882767e-07,0.29909068252833704,1.209803565519276e-07,-0.3967487274814283,4.733749142969362e-12,False
AMI_Total,pre_at_highT,confirmatory,279,0.3098219416693506,0.25514413202448843,0.05080300413939408,9.199755170541736e-07,0.2771090827097171,1.0046103302894766e-06,-0.5234320290145605,1.7558055075979157e-19,False
AMI_Total,pre_slope_T,exploratory,290,0.05269006632215989,-0.03940979068199864,0.057843586836881594,0.4962225291314253,0.21948752075761274,0.00048568543877934063,0.02287547294172922,0.7126263327737287,False
AMI_Total,pre_slope_T,confirmatory,279,0.03765244567036863,-0.07868249936922739,0.05998943802229982,0.1907470954177218,0.20553935587939917,0.001854741123337321,-0.04336332266102888,0.4945463395056884,False
AMI_Total,abs_peak_strike,exploratory,290,0.237760514642273,-0.16133184235154888,0.05188656145939406,0.0020642755355526994,0.1443860114447988,0.010143751139979165,-0.5032299434099461,2.3968847948605927e-17,False
AMI_Total,abs_peak_strike,confirmatory,279,0.34252987014409864,-0.25790784765683306,0.04958460220322629,3.869668772886256e-07,0.25745334705936607,3.089674926756357e-06,-0.5532988384470116,4.20850513826565e-22,False
AMI_Total,peak_post,exploratory,290,0.5956888761210863,0.0576214428526614,0.03960594947889697,0.1468061976730104,0.26522286037196585,4.5899060773799827e-10,-0.3744241324961015,1.409772072423405e-17,True
AMI_Total,accel_post,exploratory,290,0.040664022462085336,0.03973123577329877,0.058209589370541034,0.4954406534402964,0.1739539071927239,0.005806925499628756,-0.17110183274219148,0.0065223861706622316,False
