subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
52,51,0.013873182,0.030633412,0.07671482,0.029382639,0.6742468,0.024180776,0.009918450467248902,0.082021296
53,52,0.28927934,0.030280925,0.06761746,0.029553344,0.62420684,0.024555458,0.28870831560389604,0.069197
54,53,0.12971629,0.03042845,0.03864264,0.029345172,0.6895324,0.02428119,0.12721169523457634,0.018683672
55,54,0.57287556,0.029984074,0.046298727,0.029815357,0.52728933,0.024414267,0.576089508541114,0.036019683
56,55,0.23103869,0.0316322,0.07529299,0.03037095,0.6930805,0.024141384,0.2304729812486028,0.08126593
57,56,0.58716667,0.030267112,0.030059604,0.029479008,0.5022836,0.023677267,0.5904448860221438,0.00818193
58,57,0.007295845,0.030056298,0.051140007,0.029740138,0.612056,0.023978854,0.0037361745293510384,0.041475117
59,58,0.1269631,0.029955942,0.061594844,0.029047955,0.6128748,0.024410045,0.1255511334552783,0.05926621
60,59,0.020161198,0.030771492,0.061368708,0.029330924,0.72248054,0.024593674,0.01661389137150305,0.05587542
61,60,0.11115994,0.030468453,0.0878978,0.030010669,0.6731462,0.024068011,0.10906377219440079,0.10191184
62,61,0.051479287,0.030982856,0.05916207,0.029852618,0.65376776,0.023774013,0.04787765743774125,0.054166734
63,62,0.4264574,0.030782245,0.173735,0.030506553,0.9052066,0.024750609,0.4276690163019514,0.23973149
64,63,0.029962445,0.03146889,0.08828792,0.029762883,0.6529355,0.024351781,0.026742119040754388,0.103758514
65,64,0.5394501,0.030019704,0.065234885,0.029800935,0.6605706,0.023835666,0.5426705292195574,0.06366074
66,65,0.0679683,0.031410083,0.05902714,0.029079754,0.67117983,0.023747427,0.06480740334931152,0.053257048
67,66,0.27529773,0.029684095,0.016221574,0.02917765,0.5353822,0.023130072,0.27416567386750035,-0.015538931
68,67,0.071496435,0.030261045,0.06816085,0.030455377,0.5879608,0.024635296,0.06818503964887133,0.07055092
69,68,0.1525197,0.030239364,0.12662718,0.030257171,0.7728794,0.023521822,0.15043633659121697,0.16421276
70,69,0.09512693,0.030491408,0.061937492,0.029507501,0.5616928,0.023466138,0.09207887125068055,0.060829878
71,70,0.037469696,0.029595647,0.10039396,0.029859181,0.56789166,0.024205351,0.03435348779760515,0.12596458
72,71,0.87334585,0.029361812,0.028680954,0.029584542,0.79621047,0.024353825,0.8797714579620479,-0.00013917685
73,72,0.19814223,0.030328063,0.09487974,0.029979963,0.65319943,0.02463256,0.19705150894591972,0.113827705
74,73,0.0920444,0.029949965,0.025001593,0.030499794,0.42084682,0.02449203,0.09000262796220906,0.002906412
75,74,0.12265098,0.030340567,0.084078245,0.030096345,0.58719933,0.024534563,0.12096429747822926,0.097724795
76,75,0.4682139,0.030216824,0.03380189,0.029508414,0.51517886,0.023866683,0.4695785165441141,0.0138501525
77,76,0.7119572,0.030007439,0.06571649,0.029809916,1.0430318,0.02465058,0.7170450173086698,0.05567622
78,77,0.3165378,0.030638399,0.054926936,0.03021305,0.7846607,0.024335861,0.31671414670578235,0.045445323
79,78,0.36302578,0.032989863,0.07849404,0.030790264,0.9828159,0.025336834,0.3636533041615303,0.08011836
80,79,0.57478726,0.031287137,0.044149846,0.029332077,0.6995116,0.023536839,0.5779437224070232,0.02775234
