subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
8,29,6,0.5,5.0,0.1,0.8,0.0296704713255167,0.3268904789416124,0.9,0.546171520243117,0.30105218291282654
8,31,1,0.1000000014901161,4.0,0.9,1.0,0.30105218291282654,0.546171520243117,0.5,0.09431482791409282,0.08767223358154297
8,35,1,0.1000000014901161,4.0,0.5,1.0,0.14741498231887817,0.4484313205455215,0.1,-0.0735090197193077,0.29277199506759644
8,39,5,0.5,7.0,0.1,0.6,0.4239506125450134,0.42924730289598945,0.9,0.4327596475910238,0.45172375440597534
8,41,4,0.1000000014901161,9.0,0.9,1.0,0.45172375440597534,0.4327596475910238,0.1,0.30742811652915014,0.11995863914489746
8,45,6,0.5,5.0,0.1,1.0,-0.012901471927762032,0.12116243100646003,0.5,-0.22046908156008485,0.05107451602816582
8,47,4,0.1000000014901161,7.0,0.5,1.0,0.05107451602816582,-0.22046908156008485,0.5,0.341200034380462,0.03993212431669235
8,49,2,0.1000000014901161,9.0,0.5,1.0,0.03993212431669235,0.341200034380462,0.9,0.45230112569788933,0.18213054537773132
8,51,5,0.1000000014901161,7.0,0.9,1.0,0.18213054537773132,0.45230112569788933,0.1,-0.2971860458823883,-0.3041127622127533
8,55,7,0.8999999761581421,9.0,0.1,0.6,0.04459314048290253,-0.29718925996421874,0.9,0.20962668202927376,0.09741947054862976
8,73,7,0.8999999761581421,7.0,0.1,1.0,0.1091652363538742,-0.270250171157199,0.5,0.11760337441971265,-0.05236634612083435
8,75,6,0.5,9.0,0.5,0.8,-0.05236634612083435,0.11760337441971265,0.9,0.36312007026092963,0.031042952090501785
8,79,7,0.5,7.0,0.1,0.8,-0.15693235397338867,0.18503162523099417,0.1,0.10358627732185434,0.18444201350212097
8,8,7,0.8999999761581421,9.0,0.1,0.6,-0.5081755518913269,-0.28085252033810576,0.9,0.1711614752356798,0.08547084033489227
9,0,7,0.5,9.0,,,,,0.5,-0.28203698436614993,-0.20219328999519348
9,15,7,0.8999999761581421,9.0,0.9,0.6,-0.5314726233482361,-0.29718938831150277,0.1,-0.29718938831150277,-0.012600588612258434
9,25,7,0.1000000014901161,9.0,0.5,0.6,-0.5021554827690125,-0.28203698436614993,0.9,-0.08259508904880755,0.3330444395542145
9,33,6,0.8999999761581421,5.0,0.5,0.8,0.09862393885850906,-0.28203698436614993,0.1,-0.29718938831150277,-0.43153706192970276
9,35,7,0.1000000014901161,9.0,0.1,1.0,-0.43153706192970276,-0.29718938831150277,0.9,-0.29718938831150277,-0.1321980208158493
9,37,7,0.1000000014901161,5.0,0.9,1.0,-0.1321980208158493,-0.29718938831150277,0.5,-0.29695851023798864,0.2734270989894867
9,39,7,0.8999999761581421,4.0,0.5,0.8,0.2734270989894867,-0.29695851023798864,0.5,-0.28203698436614993,-0.014203479513525963
9,41,7,0.5,7.0,0.5,0.6,-0.014203479513525963,-0.28203698436614993,0.5,-0.29718938831150277,-0.17311279475688934
9,43,7,0.8999999761581421,7.0,0.5,0.6,-0.17311279475688934,-0.29718938831150277,0.9,0.2038116159270974,-0.8538862466812134
9,45,7,0.5,7.0,0.9,1.0,-0.8538862466812134,0.2038116159270974,0.1,-0.29718938831150277,-0.3205108046531677
9,49,7,0.1000000014901161,7.0,0.1,0.6,-0.2873857617378235,-0.29718938831150277,0.5,-0.29718938831150277,-0.45125341415405273
9,5,6,0.1000000014901161,7.0,0.1,0.6,0.011952515691518784,-0.28203698436614993,0.9,-0.29718938831150277,-0.15510378777980804
9,51,7,0.5,5.0,0.5,1.0,-0.45125341415405273,-0.29718938831150277,0.1,-0.29718938831150277,0.0020408197306096554
9,59,7,0.5,4.0,0.5,1.0,-0.35520148277282715,-0.29718938831150277,0.9,-0.29718938831150277,-0.39287251234054565
9,66,7,0.8999999761581421,7.0,0.1,0.6,0.050540126860141754,-0.29718938831150277,0.9,-0.29718938831150277,-0.17492327094078064
9,69,7,0.1000000014901161,5.0,0.1,0.6,0.07317785173654556,-0.29718938831150277,0.1,-0.28203698436614993,0.18429122865200043
9,7,7,0.8999999761581421,9.0,0.9,0.8,-0.15510378777980804,-0.29718938831150277,0.5,-0.29718938831150277,-0.8443071246147156
9,71,7,0.5,9.0,0.1,1.0,0.18429122865200043,-0.28203698436614993,0.1,-0.28203698436614993,0.14534114301204681
