subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
4,0.1,1,1,0.9779155567319833,7,0.02760028445258689,0.010431926968026771,1.015151970637765,1.0108349101117766,0.9674335017019217
4,0.1,2,0,0.8113616373694945,2,0.007832345607898842,0.005538304691941942,0.8422561226329531,0.9158038297364297,0.8859557156503769
4,0.1,2,1,0.9853021363828075,7,0.047115256570731706,0.01780789312045114,1.0228198115236034,1.0108349101117766,0.9747409062809814
4,0.1,3,0,0.8755427455314367,2,0.032037064110109925,0.02265362528156689,0.9088810760655814,0.9158038297364297,0.9560374362961769
4,0.1,3,1,0.9974974495504536,7,0.010981572924058458,0.0041506444230541535,1.035479489661921,1.0108349101117766,0.9868055006530708
4,0.5,1,0,0.9356261696282558,10,0.06785292702599337,0.02145697953113341,0.9712523165624407,0.9158038297364297,1.021644744483686
4,0.5,1,1,1.0115909734585995,7,0.033955277890133376,0.012833888713626125,1.0501096573385622,1.0108349101117766,1.0007479592753077
4,0.5,2,0,0.9331111275952164,2,0.07829863225137883,0.05536549382258168,0.9686415084425567,0.9158038297364297,1.0188984772686174
4,0.5,2,1,0.9925902851929345,4,0.04868044110878127,0.024340220554390633,1.030385473585087,1.0108349101117766,0.981950935077198
4,0.5,3,0,0.9623387011891764,2,0.06102928788868927,0.043154223317078216,0.9989819900174914,0.9158038297364297,1.0508131435376717
4,0.5,3,1,1.0602472011907071,2,0.0,0.0,1.1006185843374463,1.0108349101117766,1.0488826519391445
4,0.9,1,0,0.9890641846344295,17,0.05254720701221897,0.012744569696622106,1.0267251085300555,0.9158038297364297,1.0799956852321575
4,0.9,1,1,1.0580624541910564,2,0.016403048194792418,0.011598706610667475,1.0983506480041172,1.0108349101117766,1.0467213227470127
4,0.9,2,0,0.8907252364901598,2,0.0,0.0,0.924641675751145,0.9158038297364297,0.9726157584932926
4,0.9,2,1,1.0252657584264364,2,0.009336970312378536,0.00660223502362034,1.0643051416138491,1.0108349101117766,1.0142761673249532
4,0.9,3,0,0.9196562727147417,2,0.04091466380231107,0.028931036224581926,0.9546743286052668,0.9158038297364297,1.0042066246648267
4,0.9,3,1,0.9890423758810112,2,0.010764883081574937,0.007611921825661976,1.0267024693575244,1.0108349101117766,0.9784410550004099
5,0.1,1,0,0.9517451337695043,3,0.10491498206110529,0.0605726931350039,0.9825788978688793,0.9713476257608463,0.9798192825395671
