test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,exploratory,290,0.030946546456999013,kappa_z,-0.01498485861956862,0.8147567529822741,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,anxiety_intercept_HvL,0.000284803541018798,0.9977963212091796,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,anxiety_slopeT_HvL,-0.13792775656056355,0.13167685921153116,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,anxiety_slopeD_HvL,-0.03912997819206025,0.605525906083494,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,confidence_intercept_HvL,0.07587487604796832,0.4712391647657521,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,confidence_slopeT_HvL,0.0942555285878148,0.2723862529702983,DASS21_Anxiety
C_clinical_full,exploratory,290,0.030946546456999013,confidence_slopeD_HvL,0.024820623197635915,0.7509536862928279,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,omega_z,-0.017555066346730014,0.7824687321781895,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,kappa_z,-0.01745092731743486,0.7860032041460882,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,anxiety_intercept_HvL,0.34451433850389895,0.001181919827673991,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,anxiety_slopeT_HvL,0.13639184642160987,0.14151259403150815,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,anxiety_slopeD_HvL,0.20973182208225405,0.012752209977495724,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,confidence_intercept_HvL,-0.009389015914647228,0.9354847123177779,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,confidence_slopeT_HvL,0.03175736350058289,0.7500423942976778,DASS21_Anxiety
C_clinical_full,confirmatory,281,0.05440970414619439,confidence_slopeD_HvL,-0.08056216664989539,0.303792231980367,DASS21_Anxiety
C_clinical_full,exploratory,290,0.05133293545842965,omega_z,-0.02772536440580449,0.6650336046170793,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,kappa_z,-0.06994906462369666,0.2694966076266322,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,anxiety_intercept_HvL,0.08736120755042318,0.3921702148104786,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,anxiety_slopeT_HvL,-0.023755639285262864,0.7926004152397885,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,anxiety_slopeD_HvL,-0.10748648077250822,0.15226338361459466,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,confidence_intercept_HvL,-0.02715972270520873,0.7942820518204796,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,confidence_slopeT_HvL,0.09939976719061974,0.24212671049730083,DASS21_Depression
C_clinical_full,exploratory,290,0.05133293545842965,confidence_slopeD_HvL,-0.0332822077759895,0.66712521519524,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,omega_z,-0.047399982751350336,0.444289482548826,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,kappa_z,0.032136952652061554,0.6078106478257648,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,anxiety_intercept_HvL,0.44519310027894604,1.9400038415786903e-05,DASS21_Depression
