subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
192,0.026024771330274546,-0.06719510630357772,-0.15748320806622373,0.3015262693474364,45,-0.3204305875777517,-0.9430400536587225
193,0.009827782719714812,-0.02569573071029004,-0.05573473020452547,0.7193416658232685,44,-0.3204305875777517,-0.9430400536587225
194,-0.006935457715973068,0.017850593118548957,0.02751450204996888,0.8592807312429308,44,-0.3204305875777517,-0.9430400536587225
195,0.008218068430682719,-0.021218783243156222,-0.053273161812584166,0.7281722876016947,45,-0.3204305875777517,-0.9430400536587225
196,-0.03478032625516056,0.08980166205225881,0.17121198757185938,0.26078694390016777,45,-0.3204305875777517,-0.9430400536587225
197,0.0025875916325563395,-0.006681076756190671,-0.0383668632262587,0.8024154393362952,45,-0.3204305875777517,-0.9430400536587225
198,0.0006914984954934743,-0.0017854264432823632,-0.005187125620277055,0.9730228249134533,45,-0.3204305875777517,-0.9430400536587225
199,-0.017782920935329512,0.04591491880843275,0.06547481989586078,0.6691478598189153,45,-0.3204305875777517,-0.9430400536587225
200,0.026844220508446183,-0.0680988336644319,-0.05384424145425853,0.7348616944124259,42,-0.3204305875777517,-0.9430400536587225
201,-0.024476337283216347,0.06209812094918144,0.13699875299351422,0.37519894533100223,44,-0.3204305875777517,-0.9430400536587225
202,-0.01066473476073316,0.02753599548877813,0.04788563806386887,0.7547620042720214,45,-0.3204305875777517,-0.9430400536587225
203,0.012520278698512171,-0.032326949098617525,-0.04063014326458265,0.7910133743868074,45,-0.3204305875777517,-0.9430400536587225
204,0.005208041891515608,-0.013446993408421381,-0.041016582322511715,0.789070786154807,45,-0.3204305875777517,-0.9430400536587225
205,-0.033220942077723685,0.08577538323346713,0.18598917733365616,0.22123476622251972,45,-0.3204305875777517,-0.9430400536587225
206,0.02202284513051387,-0.05791338522693274,-0.0973698472490108,0.5395817277571708,42,-0.3204305875777517,-0.9430400536587225
